title,price,marcas
"Celular Samsung Galaxy A26 5G 256GB, 8GB RAM, Câmera de 50MP, IP67, Tela Super AMOLED 6.7"", NFC","ou R$ 967,14",samsung
Smartphone Samsung Galaxy A16 128GB Cinza,"ou R$ 967,14",samsung
Smartphone Xiaomi Redmi 14C 256GB 4+4GB RAM VIRTUAL Azul,"ou R$ 849,15",xiaomi
"Smartphone Samsung Galaxy A15 6,5"" 128GB Verde Claro 5G 4GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip","ou R$ 359,99",samsung
"Celular Realme C75 4G 256GB 8GB RAM Tela 6,72 PRETO","ou R$ 1.299,99",realme
Smartphone Motorola Moto G05 128GB 12GB (4GB RAM + 8GB Ram Boost) Camera 50MP AI Bateria 5200 mAh Tela 6.7,"ou R$ 1.429,99",motorola
Smartphone Xiaomi Redmi Note 14 256GB 8GB RAM Dual SIM Tela 6.67,"ou R$ 735,90",xiaomi
Smartphone Motorola Edge 50 Neo 5G 256GB 16GB Ram Boost 50MP Sony Câmera Moto AI IP68 NFC,"ou R$ 1.709,10",motorola
"Smartphone Note14 PRO NFC Câmera tripla 200MP / 32mp frontal 256GB tela AMOLED 120Hz FHD plus, Design e Performance celular Premium","ou R$ 4.184,07",unity
"Smartphone Motorola Edge 50 5G 256GB, 12GB RAM, 12GB Ram Boost, 50MP Sony Camera, Moto AI, Ultrarresistencia militar","ou R$ 1.044,05",motorola
"Smartphone Samsung Galaxy Z Flip6 512GB Azul 5G - Tela dobrável de 6.7"" e 12GB de RAM","ou R$ 779,00",samsung
"Smartphone Infinix Note 40 5G 256GB 8GB 6,78'' FHD+ Preto","ou R$ 1.177,88",infinix
Smartphone Motorola Moto G75 5G 256GB 16GB Ram Boost 50MP Sony Camera Moto AI Ultrarresistencia Militar,"ou R$ 1.519,05",motorola
"Smartphone Samsung Galaxy A05s 6,7"" 128GB 6GB 4G Prata","ou R$ 969,99",samsung
Smartphone Xiaomi Redmi Note 13 5G 8GB Ram 256GB,"ou R$ 944,99",xiaomi
"Celular Samsung Galaxy A56 5G 256GB, 8GB RAM, Câmera 50MP, IP67, Super AMOLED 6.7"", Recursos AI","ou R$ 989,10",samsung
Smartphone Motorola Moto G35 5G 128GB 12GB Ram Boost e Camera 50MP com AI NFC Tela 6.7 com Superbrilho,,motorola
"Celular Samsung Galaxy A16, 128GB + 4GB RAM, Câmera de até 50MP, Tela 6.7"", NFC, IP54, Bateria 5000 mAh",,samsung
"Smartphone Motorola Edge 50 5G - Green, 256GB, 24GB RAM Boost, Câmera Dupla 50 MP Sony, Selfie 32MP e Tela de 6.7""",,motorola
Smartphone Motorola Moto G75 5G 256GB 16GB Ram Boost 50MP Sony Camera Moto AI Ultrarresistencia Militar,,motorola
"Smartphone Samsung Galaxy A56 256GB - Cinza, 5G, Câmera Tripla 50MP, RAM 8GB, Tela 6.7""","ou R$ 2.249,10",samsung
"Celular Samsung Galaxy A16 5G, 128GB + 4GB RAM, Câmera de até 50MP, Tela 6.7"", NFC, IP54, Bateria 5000 mAh","ou R$ 691,20",samsung
"Smartphone 13 256GB 8GB RAM Dual SIM Tela 6.79"" - Azul",,smartphone-13
Infinix Note 40 5G Dual Sim 256 Gb preto 16Gb Ram,,infinix-note-40-5g
"Smartphone Motorola Moto G22 XT22311, 128GB, 4GB RAM, Android 12, 2.3 GHz OctaCore, Camêra Frontal 16MP Verde",,motorola
"Smartphone Motorola Moto G24 4G 256GB 4GB RAM Câmera Traseira 50MP + 2MP Selfie 8MP 6.6"" Grafite",,motorola
Smartphone Realme Note 50 RMX3834 128GB 4GB RAM Dual SIM Tela 6.74 Midnight black,,realme
Smartphone Motorola Edge 50 Fusion Blue Teal 5G 256GB 16GB Ram Boost 50MP Sony AI Câmera IP68 NFC,,motorola
"Smartphone Motorola Moto G24 4G 256GB 4GB RAM Câmera Traseira 50MP + 2MP Selfie 8MP 6.6"" Rosa","ou R$ 952,74",motorola
